productId,categories,brand,description,size,price.regular,price.promo,Date,Store_Id,image
0,1111040101,['Dairy'],Kroger,Kroger® Vitamin D Whole Milk,1 gal,2.99,0.0,02/08/2021,3400312,https://www.kroger.com/product/images/xlarge/front/0001111040101
1,1111041600,['Dairy'],Kroger,Kroger® 2% Reduced Fat Milk,1/2 gal,1.99,0.0,02/08/2021,3400312,https://www.kroger.com/product/images/xlarge/front/0001111041600
2,1111041660,['Dairy'],Kroger,Kroger® 1% Lowfat Milk,1 gal,2.99,0.0,02/08/2021,3400312,https://www.kroger.com/product/images/xlarge/front/0001111041660
3,1111040601,['Dairy'],Kroger,Kroger® Vitamin D Whole Milk,1/2 gal,1.99,0.0,02/08/2021,3400312,https://www.kroger.com/product/images/xlarge/front/0001111040601
4,1111042315,['Dairy'],Kroger,Kroger® Fat Free Skim Milk,1 gal,2.99,0.0,02/08/2021,3400312,https://www.kroger.com/product/images/xlarge/front/0001111042315
5,1111042852,"['Natural & Organic', 'Dairy']",Simple Truth Organic,Simple Truth Organic® 2% Reduced Fat Milk,0.5 gal,3.29,0.0,02/08/2021,3400312,https://www.kroger.com/product/images/xlarge/front/0001111042852
6,1111041661,['Dairy'],Kroger,Kroger® 1% Lowfat Milk,1/2 gal,1.99,0.0,02/08/2021,3400312,https://www.kroger.com/product/images/xlarge/front/0001111041661
7,1111042305,['Dairy'],Kroger,Kroger® Fat Free Skim Milk,1/2 gal,1.99,0.0,02/08/2021,3400312,https://www.kroger.com/product/images/xlarge/front/0001111042305
8,1111050323,['Dairy'],Kroger,Kroger® 2% Reduced Fat Milk,1 qt,1.69,0.0,02/08/2021,3400312,https://www.kroger.com/product/images/xlarge/front/0001111050323
9,85631200277,"['Natural & Organic', 'Dairy']",Fairlife,Fairlife 2% Reduced Fat Ultra Filtered Lactose Free Milk,52 fl oz,3.99,0.0,02/08/2021,3400312,https://www.kroger.com/product/images/xlarge/front/0085631200277
